Driver,f_result,points,Car,Laps,race,date,quali_result,Q1,Q2,Q3,quali_laps,fp3_result,fp3_time,fp3_gap,fp3_laps,fp2_result,fp2_time,fp2_gap,fp2_laps,fp1_result,fp1_time,fp1_gap,fp1_laps,year,winner
Stoffel Vandoorne VAN,11,0,McLaren Honda,50,Great.Britain,2017-07-16,9,1M 40.011S,1M 30.105S,1M 29.418S,24,10,1M 30.088S,2.025S,19,16,1M 30.782S,2.286S,31,10,1M 31.041S,1.935S,27,2017,0
Kevin Magnussen MAG,12,0,Haas Ferrari,50,Great.Britain,2017-07-16,17,1M 42.577S,NA,NA,11,13,1M 30.27S,2.207S,15,17,1M 30.835S,2.339S,33,NA,NA,10S,NA,2017,0
Romain Grosjean GRO,13,0,Haas Ferrari,50,Great.Britain,2017-07-16,10,1M 42.042S,1M 29.966S,1M 29.549S,26,7,1M 29.819S,1.756S,14,14,1M 30.661S,2.165S,33,14,1M 31.61S,2.504S,24,2017,0
Marcus Ericsson ERI,14,0,Sauber Ferrari,50,Great.Britain,2017-07-16,19,1M 42.633S,NA,NA,10,19,1M 30.63S,2.567S,24,19,1M 31.616S,3.12S,27,20,1M 33.399S,4.293S,26,2017,0
Daniil Kvyat KVY,15,0,Toro Rosso,50,Great.Britain,2017-07-16,12,1M 41.726S,1M 30.355S,NA,20,16,1M 30.504S,2.441S,20,12,1M 30.562S,2.066S,34,7,1M 30.895S,1.789S,21,2017,0
Lance Stroll STR,16,0,Williams Mercedes,50,Great.Britain,2017-07-16,16,1M 42.573S,NA,NA,11,20,1M 31.358S,3.295S,18,15,1M 30.695S,2.199S,37,15,1M 31.684S,2.578S,24,2017,0
Pascal Wehrlein WEH,17,0,Sauber Ferrari,50,Great.Britain,2017-07-16,18,1M 42.593S,NA,NA,10,18,1M 30.621S,2.558S,24,20,1M 31.929S,3.433S,30,19,1M 33.029S,3.923S,23,2017,0
Fernando Alonso ALO,NA,0,McLaren Honda,32,Great.Britain,2017-07-16,13,1M 37.598S,1M 30.6S,NA,17,11,1M 30.138S,2.075S,17,9,1M 30.238S,1.742S,28,8,1M 30.993S,1.887S,20,2017,0
Carlos Sainz SAI,NA,0,Toro Rosso,0,Great.Britain,2017-07-16,14,1M 41.114S,1M 31.368S,NA,15,17,1M 30.515S,2.452S,19,11,1M 30.555S,2.059S,26,11,1M 31.2S,2.094S,24,2017,0
Jolyon Palmer PAL,NA,0,Renault,0,Great.Britain,2017-07-16,11,1M 41.404S,1M 30.193S,NA,18,14,1M 30.302S,2.239S,16,18,1M 30.879S,2.383S,25,18,1M 32.45S,3.344S,16,2017,0
Sebastian Vettel VET,1,25,Ferrari,70,Hungary,2017-07-30,1,1M 17.244S,1M 16.802S,1M 16.276S,14,1,1M 17.017S,0S,17,2,1M 18.638S,0.183S,28,6,1M 19.563S,1.077S,21,2017,1
Kimi Räikkönen RAI,2,18,Ferrari,70,Hungary,2017-07-30,2,1M 17.364S,1M 17.207S,1M 16.444S,14,2,1M 17.492S,0.475S,16,4,1M 18.755S,0.3S,28,2,1M 18.72S,0.234S,20,2017,0
Valtteri Bottas BOT,3,15,Mercedes,70,Hungary,2017-07-30,3,1M 18.058S,1M 17.362S,1M 16.53S,18,3,1M 17.914S,0.897S,15,3,1M 18.656S,0.201S,33,5,1M 19.248S,0.762S,30,2017,0
Lewis Hamilton HAM,4,12,Mercedes,70,Hungary,2017-07-30,4,1M 17.492S,1M 16.693S,1M 16.707S,17,5,1M 18.434S,1.417S,14,5,1M 18.779S,0.324S,31,3,1M 18.858S,0.372S,31,2017,0
Max Verstappen VER,5,10,Red Bull Racing TAG Heuer,70,Hungary,2017-07-30,5,1M 17.266S,1M 17.028S,1M 16.797S,14,4,1M 18.194S,1.177S,25,6,1M 18.951S,0.496S,25,4,1M 19.162S,0.676S,27,2017,0
Fernando Alonso ALO,6,8,McLaren Honda,70,Hungary,2017-07-30,8,1M 18.395S,1M 17.919S,1M 17.549S,17,9,1M 18.884S,1.867S,14,8,1M 19.815S,1.36S,31,7,1M 19.987S,1.501S,21,2017,0
Carlos Sainz SAI,7,6,Toro Rosso,69,Hungary,2017-07-30,10,1M 18.948S,1M 18.311S,1M 18.912S,19,11,1M 19.3S,2.283S,22,9,1M 19.834S,1.379S,35,14,1M 20.917S,2.431S,25,2017,0
Sergio Perez PER,8,4,Force India Mercedes,69,Hungary,2017-07-30,14,1M 19.095S,1M 18.639S,NA,15,14,1M 19.609S,2.592S,22,12,1M 20.266S,1.811S,33,12,1M 20.574S,2.088S,23,2017,0
Esteban Ocon OCO,9,2,Force India Mercedes,69,Hungary,2017-07-30,12,1M 18.843S,1M 18.495S,NA,16,12,1M 19.352S,2.335S,22,11,1M 20.126S,1.671S,34,NA,NA,10S,NA,2017,0
Stoffel Vandoorne VAN,10,1,McLaren Honda,69,Hungary,2017-07-30,9,1M 18.479S,1M 18S,1M 17.894S,17,6,1M 18.638S,1.621S,18,10,1M 19.909S,1.454S,18,8,1M 20.005S,1.519S,24,2017,0
Daniil Kvyat KVY,11,0,Toro Rosso,69,Hungary,2017-07-30,13,1M 18.702S,1M 18.538S,NA,15,13,1M 19.455S,2.438S,23,13,1M 20.577S,2.122S,37,13,1M 20.78S,2.294S,27,2017,0
Jolyon Palmer PAL,12,0,Renault,69,Hungary,2017-07-30,11,1M 18.699S,1M 18.415S,NA,14,10,1M 18.956S,1.939S,19,16,1M 21.175S,2.72S,12,10,1M 20.461S,1.975S,27,2017,0
Kevin Magnussen MAG,13,0,Haas Ferrari,69,Hungary,2017-07-30,16,1M 19.095S,NA,NA,9,16,1M 19.895S,2.878S,19,17,1M 21.345S,2.89S,11,NA,NA,10S,NA,2017,0
Lance Stroll STR,14,0,Williams Mercedes,69,Hungary,2017-07-30,17,1M 19.102S,NA,NA,9,18,1M 20.379S,3.362S,24,14,1M 20.791S,2.336S,31,15,1M 20.974S,2.488S,29,2017,0
Pascal Wehrlein WEH,15,0,Sauber Ferrari,68,Hungary,2017-07-30,18,1M 19.839S,NA,NA,9,19,1M 20.446S,3.429S,24,20,1M 21.722S,3.267S,16,20,1M 22.49S,4.004S,29,2017,0
Marcus Ericsson ERI,16,0,Sauber Ferrari,68,Hungary,2017-07-30,20,1M 19.972S,NA,NA,8,20,1M 20.748S,3.731S,19,19,1M 21.559S,3.104S,31,18,1M 21.785S,3.299S,31,2017,0
Nico Hulkenberg HUL,17,0,Renault,67,Hungary,2017-07-30,7,1M 18.137S,1M 17.655S,1M 17.468S,14,7,1M 18.699S,1.682S,20,7,1M 19.714S,1.259S,33,9,1M 20.15S,1.664S,25,2017,0
Paul di Resta DIR,NA,0,Williams Mercedes,60,Hungary,2017-07-30,19,1M 19.868S,NA,NA,11,NA,NA,10S,NA,NA,NA,10S,NA,NA,NA,10S,NA,2017,0
Romain Grosjean GRO,NA,0,Haas Ferrari,20,Hungary,2017-07-30,15,1M 19.085S,1M 18.771S,NA,15,15,1M 19.622S,2.605S,21,18,1M 21.504S,3.049S,25,16,1M 21.313S,2.827S,20,2017,0
Daniel Ricciardo RIC,NA,0,Red Bull Racing TAG Heuer,0,Hungary,2017-07-30,6,1M 17.702S,1M 17.698S,1M 16.818S,14,8,1M 18.714S,1.697S,7,1,1M 18.455S,0S,32,1,1M 18.486S,0S,31,2017,0
Lewis Hamilton HAM,1,25,Mercedes,44,Belgium,2017-08-27,1,1M 44.184S,1M 42.927S,1M 42.553S,18,3,1M 44.114S,0.198S,11,1,1M 44.753S,0S,17,2,1M 45.555S,0.053S,19,2017,1
Sebastian Vettel VET,2,18,Ferrari,44,Belgium,2017-08-27,2,1M 44.275S,1M 43.987S,1M 42.795S,13,2,1M 44.113S,0.197S,15,5,1M 45.235S,0.482S,20,3,1M 45.647S,0.145S,13,2017,0
Daniel Ricciardo RIC,3,15,Red Bull Racing TAG Heuer,44,Belgium,2017-08-27,6,1M 45.114S,1M 44.224S,1M 43.863S,12,6,1M 45.286S,1.37S,18,6,1M 46.072S,1.319S,15,5,1M 46.352S,0.85S,22,2017,0
Kimi Räikkönen RAI,4,12,Ferrari,44,Belgium,2017-08-27,4,1M 44.729S,1M 43.7S,1M 43.27S,11,1,1M 43.916S,0S,17,2,1M 45.015S,0.262S,21,1,1M 45.502S,0S,13,2017,0
Valtteri Bottas BOT,5,10,Mercedes,44,Belgium,2017-08-27,3,1M 44.773S,1M 43.249S,1M 43.094S,19,5,1M 45.23S,1.314S,18,3,1M 45.18S,0.427S,17,6,1M 46.424S,0.922S,20,2017,0
Nico Hulkenberg HUL,6,8,Renault,44,Belgium,2017-08-27,7,1M 45.28S,1M 44.988S,1M 44.982S,15,11,1M 46.064S,2.148S,11,7,1M 46.441S,1.688S,24,12,1M 48.037S,2.535S,15,2017,0
Romain Grosjean GRO,7,6,Haas Ferrari,44,Belgium,2017-08-27,12,1M 45.728S,1M 45.133S,NA,12,13,1M 46.196S,2.28S,14,13,1M 47.285S,2.532S,15,17,1M 48.626S,3.124S,20,2017,0
Felipe Massa MAS,8,4,Williams Mercedes,44,Belgium,2017-08-27,16,1M 45.823S,NA,NA,7,16,1M 46.667S,2.751S,22,NA,NA,10S,NA,20,NA,0S,3,2017,0
Esteban Ocon OCO,9,2,Force India Mercedes,44,Belgium,2017-08-27,9,1M 45.277S,1M 45.006S,1M 45.369S,14,12,1M 46.179S,2.263S,14,8,1M 46.473S,1.72S,19,8,1M 47.67S,2.168S,27,2017,0
Carlos Sainz SAI,10,1,Toro Rosso,44,Belgium,2017-08-27,14,1M 45.374S,1M 45.439S,NA,12,9,1M 45.942S,2.026S,18,9,1M 46.561S,1.808S,19,7,1M 47.446S,1.944S,22,2017,0
Lance Stroll STR,11,0,Williams Mercedes,44,Belgium,2017-08-27,18,1M 46.915S,NA,NA,5,15,1M 46.62S,2.704S,18,17,1M 47.861S,3.108S,13,15,1M 48.541S,3.039S,24,2017,0
Daniil Kvyat KVY,12,0,Toro Rosso,44,Belgium,2017-08-27,17,1M 46.028S,NA,NA,6,18,1M 47.903S,3.987S,7,15,1M 47.45S,2.697S,12,9,1M 47.851S,2.349S,20,2017,0
Jolyon Palmer PAL,13,0,Renault,44,Belgium,2017-08-27,10,1M 45.447S,1M 44.685S,NA,10,7,1M 45.491S,1.575S,11,10,1M 46.67S,1.917S,23,11,1M 47.93S,2.428S,14,2017,0
Stoffel Vandoorne VAN,14,0,McLaren Honda,44,Belgium,2017-08-27,15,1M 45.441S,NA,NA,11,14,1M 46.3S,2.384S,14,14,1M 47.303S,2.55S,17,10,1M 47.865S,2.363S,18,2017,0
Kevin Magnussen MAG,15,0,Haas Ferrari,44,Belgium,2017-08-27,13,1M 45.535S,1M 45.4S,NA,12,17,1M 46.69S,2.774S,13,16,1M 47.556S,2.803S,15,16,1M 48.615S,3.113S,20,2017,0
Marcus Ericsson ERI,16,0,Sauber Ferrari,44,Belgium,2017-08-27,19,1M 47.214S,NA,NA,6,20,1M 48.3S,4.384S,6,18,1M 49.214S,4.461S,12,18,1M 50.16S,4.658S,21,2017,0
Sergio Perez PER,17,0,Force India Mercedes,42,Belgium,2017-08-27,8,1M 45.591S,1M 44.894S,1M 45.244S,14,8,1M 45.857S,1.941S,14,12,1M 46.984S,2.231S,18,14,1M 48.452S,2.95S,19,2017,0
Fernando Alonso ALO,NA,0,McLaren Honda,25,Belgium,2017-08-27,11,1M 45.668S,1M 45.09S,NA,11,10,1M 46.06S,2.144S,12,11,1M 46.743S,1.99S,20,13,1M 48.252S,2.75S,18,2017,0
Max Verstappen VER,NA,0,Red Bull Racing TAG Heuer,7,Belgium,2017-08-27,5,1M 44.535S,1M 43.94S,1M 43.38S,12,4,1M 45.034S,1.118S,13,4,1M 45.225S,0.472S,16,4,1M 46.302S,0.8S,18,2017,0
Pascal Wehrlein WEH,NA,0,Sauber Ferrari,2,Belgium,2017-08-27,20,1M 47.679S,NA,NA,6,19,1M 48.296S,4.38S,17,19,1M 49.725S,4.972S,18,19,1M 51.263S,5.761S,13,2017,0
Lewis Hamilton HAM,1,25,Mercedes,53,Italy,2017-09-03,1,1M 36.009S,1M 34.66S,1M 35.554S,29,20,NA,0S,1,2,1M 21.462S,0.056S,24,1,1M 21.537S,0S,28,2017,1
Valtteri Bottas BOT,2,18,Mercedes,53,Italy,2017-09-03,6,1M 35.716S,1M 35.396S,1M 37.833S,29,18,NA,0S,1,1,1M 21.406S,0S,25,2,1M 21.972S,0.435S,31,2017,0
Sebastian Vettel VET,3,15,Ferrari,53,Italy,2017-09-03,8,1M 37.198S,1M 36.223S,1M 38.064S,28,10,NA,0S,3,3,1M 21.546S,0.14S,33,3,1M 22.652S,1.115S,24,2017,0
Daniel Ricciardo RIC,4,12,Red Bull Racing TAG Heuer,53,Italy,2017-09-03,3,1M 38.304S,1M 37.313S,1M 36.841S,26,8,NA,0S,1,6,1M 22.752S,1.346S,22,5,1M 22.742S,1.205S,28,2017,0
Kimi Räikkönen RAI,5,10,Ferrari,53,Italy,2017-09-03,7,1M 38.235S,1M 37.031S,1M 37.987S,30,11,NA,0S,4,4,1M 21.804S,0.398S,34,4,1M 22.689S,1.152S,28,2017,0
Esteban Ocon OCO,6,8,Force India Mercedes,53,Italy,2017-09-03,5,1M 38.775S,1M 37.58S,1M 37.719S,29,16,NA,0S,2,9,1M 22.977S,1.571S,43,8,1M 23.4S,1.863S,34,2017,0
Lance Stroll STR,7,6,Williams Mercedes,53,Italy,2017-09-03,4,1M 37.653S,1M 37.002S,1M 37.032S,27,2,1M 40.888S,0.228S,4,15,1M 23.403S,1.997S,36,13,1M 23.991S,2.454S,30,2017,0
Felipe Massa MAS,8,4,Williams Mercedes,53,Italy,2017-09-03,9,1M 38.338S,1M 37.456S,1M 38.251S,27,1,1M 40.66S,0S,4,10,1M 22.985S,1.579S,42,10,1M 23.561S,2.024S,37,2017,0
Sergio Perez PER,9,2,Force India Mercedes,53,Italy,2017-09-03,11,1M 38.511S,1M 37.582S,NA,19,19,NA,0S,1,14,1M 23.352S,1.946S,43,7,1M 23.317S,1.78S,36,2017,0
Max Verstappen VER,10,1,Red Bull Racing TAG Heuer,52,Italy,2017-09-03,2,1M 37.344S,1M 36.113S,1M 36.702S,29,9,NA,0S,1,5,1M 22.409S,1.003S,34,6,1M 22.749S,1.212S,23,2017,0
Kevin Magnussen MAG,11,0,Haas Ferrari,52,Italy,2017-09-03,16,1M 40.489S,NA,NA,12,15,NA,0S,1,17,1M 23.65S,2.244S,20,12,1M 23.973S,2.436S,22,2017,0
Daniil Kvyat KVY,12,0,Toro Rosso,52,Italy,2017-09-03,14,1M 39.183S,1M 38.245S,NA,21,7,1M 45.033S,4.373S,4,18,1M 24.253S,2.847S,28,14,1M 24.012S,2.475S,27,2017,0
Nico Hulkenberg HUL,13,0,Renault,52,Italy,2017-09-03,12,1M 39.242S,1M 38.059S,NA,20,3,1M 41.491S,0.831S,4,12,1M 23.272S,1.866S,14,17,1M 24.542S,3.005S,17,2017,0
Carlos Sainz SAI,14,0,Toro Rosso,52,Italy,2017-09-03,15,1M 39.788S,1M 38.526S,NA,21,4,1M 41.515S,0.855S,5,11,1M 23.15S,1.744S,21,11,1M 23.68S,2.143S,22,2017,0
Romain Grosjean GRO,15,0,Haas Ferrari,52,Italy,2017-09-03,NA,1M 43.355S,NA,NA,3,14,NA,0S,1,16,1M 23.567S,2.161S,31,16,1M 24.079S,2.542S,22,2017,0
Pascal Wehrlein WEH,16,0,Sauber Ferrari,51,Italy,2017-09-03,19,1M 41.875S,NA,NA,9,17,NA,0S,2,20,1M 25.295S,3.889S,25,19,1M 25.223S,3.686S,26,2017,0
Fernando Alonso ALO,17,0,McLaren Honda,50,Italy,2017-09-03,13,1M 39.134S,1M 38.202S,NA,11,12,NA,0S,2,8,1M 22.968S,1.562S,31,15,1M 24.015S,2.478S,17,2017,0
Marcus Ericsson ERI,18,0,Sauber Ferrari,49,Italy,2017-09-03,18,1M 41.732S,NA,NA,11,6,1M 44.701S,4.041S,3,19,1M 24.894S,3.488S,39,20,1M 25.687S,4.15S,17,2017,0
Stoffel Vandoorne VAN,NA,0,McLaren Honda,33,Italy,2017-09-03,10,1M 38.767S,1M 37.471S,1M 39.157S,25,13,NA,0S,4,7,1M 22.947S,1.541S,31,9,1M 23.465S,1.928S,24,2017,0
Jolyon Palmer PAL,NA,0,Renault,29,Italy,2017-09-03,17,1M 40.646S,NA,NA,10,5,1M 44.369S,3.709S,4,13,1M 23.317S,1.911S,34,18,1M 25.166S,3.629S,21,2017,0
Lewis Hamilton HAM,1,25,Mercedes,58,Singapore,2017-09-17,5,1M 42.455S,1M 40.577S,1M 40.126S,17,3,1M 41.971S,0.142S,16,3,1M 41.555S,0.703S,36,4,1M 42.904S,0.415S,27,2017,1
Daniel Ricciardo RIC,2,18,Red Bull Racing TAG Heuer,58,Singapore,2017-09-17,3,1M 42.063S,1M 40.385S,1M 39.84S,18,6,1M 42.517S,0.688S,11,1,1M 40.852S,0S,33,1,1M 42.489S,0S,21,2017,0
Valtteri Bottas BOT,3,15,Mercedes,58,Singapore,2017-09-17,6,1M 43.137S,1M 41.409S,1M 40.81S,16,8,1M 42.592S,0.763S,16,4,1M 42.104S,1.252S,35,6,1M 43.434S,0.945S,27,2017,0
Carlos Sainz SAI,4,12,Toro Rosso,58,Singapore,2017-09-17,10,1M 42.176S,1M 41.826S,1M 42.056S,20,12,1M 43.356S,1.527S,17,12,1M 43.236S,2.384S,38,NA,NA,10S,NA,2017,0
Sergio Perez PER,5,10,Force India Mercedes,58,Singapore,2017-09-17,12,1M 43.594S,1M 42.246S,NA,8,10,1M 43.01S,1.181S,14,8,1M 42.826S,1.974S,35,5,1M 43.423S,0.934S,25,2017,0
Jolyon Palmer PAL,6,8,Renault,58,Singapore,2017-09-17,11,1M 42.472S,1M 42.107S,NA,12,13,1M 43.368S,1.539S,11,14,1M 43.795S,2.943S,32,12,1M 44.961S,2.472S,25,2017,0
Stoffel Vandoorne VAN,7,6,McLaren Honda,58,Singapore,2017-09-17,9,1M 42.222S,1M 41.227S,1M 41.398S,19,5,1M 42.439S,0.61S,13,6,1M 42.501S,1.649S,34,11,1M 44.34S,1.851S,25,2017,0
Lance Stroll STR,8,4,Williams Mercedes,58,Singapore,2017-09-17,18,1M 44.728S,NA,NA,9,17,1M 44.223S,2.394S,18,16,1M 44.301S,3.449S,32,17,1M 47.19S,4.701S,11,2017,0
Romain Grosjean GRO,9,2,Haas Ferrari,58,Singapore,2017-09-17,15,1M 43.627S,1M 43.883S,NA,13,18,1M 44.295S,2.466S,16,18,1M 44.928S,4.076S,29,15,1M 46.456S,3.967S,20,2017,0
Esteban Ocon OCO,10,1,Force India Mercedes,58,Singapore,2017-09-17,14,1M 43.626S,1M 42.76S,NA,11,11,1M 43.109S,1.28S,15,10,1M 43.054S,2.202S,34,13,1M 45.053S,2.564S,25,2017,0
Felipe Massa MAS,11,0,Williams Mercedes,58,Singapore,2017-09-17,17,1M 44.014S,NA,NA,6,15,1M 43.724S,1.895S,17,15,1M 43.836S,2.984S,32,14,1M 45.084S,2.595S,27,2017,0
Pascal Wehrlein WEH,12,0,Sauber Ferrari,56,Singapore,2017-09-17,19,1M 45.059S,NA,NA,9,19,1M 45.76S,3.931S,15,19,1M 45.673S,4.821S,34,20,1M 47.886S,5.397S,24,2017,0
Kevin Magnussen MAG,NA,0,Haas Ferrari,50,Singapore,2017-09-17,16,1M 43.756S,NA,NA,8,16,1M 44.041S,2.212S,16,17,1M 44.417S,3.565S,32,NA,NA,10S,NA,2017,0
Nico Hulkenberg HUL,NA,0,Renault,48,Singapore,2017-09-17,7,1M 42.586S,1M 41.277S,1M 41.013S,18,7,1M 42.549S,0.72S,10,5,1M 42.448S,1.596S,33,9,1M 44.101S,1.612S,24,2017,0
Marcus Ericsson ERI,NA,0,Sauber Ferrari,35,Singapore,2017-09-17,20,1M 45.57S,NA,NA,6,20,1M 46.339S,4.51S,7,20,1M 45.721S,4.869S,35,19,1M 47.699S,5.21S,23,2017,0
Daniil Kvyat KVY,NA,0,Toro Rosso,10,Singapore,2017-09-17,13,1M 42.544S,1M 42.338S,NA,14,14,1M 43.574S,1.745S,17,13,1M 43.608S,2.756S,32,10,1M 44.22S,1.731S,25,2017,0
Fernando Alonso ALO,NA,0,McLaren Honda,8,Singapore,2017-09-17,8,1M 42.086S,1M 41.442S,1M 41.179S,20,4,1M 42.383S,0.554S,11,7,1M 42.788S,1.936S,32,8,1M 43.759S,1.27S,19,2017,0
Sebastian Vettel VET,NA,0,Ferrari,0,Singapore,2017-09-17,1,1M 43.336S,1M 40.529S,1M 39.491S,19,2,1M 41.901S,0.072S,13,11,1M 43.104S,2.252S,33,2,1M 42.598S,0.109S,21,2017,0
Max Verstappen VER,NA,0,Red Bull Racing TAG Heuer,0,Singapore,2017-09-17,2,1M 42.01S,1M 40.332S,1M 39.814S,18,1,1M 41.829S,0S,12,2,1M 41.408S,0.556S,28,3,1M 42.61S,0.121S,23,2017,0
Kimi Räikkönen RAI,NA,0,Ferrari,0,Singapore,2017-09-17,4,1M 43.328S,1M 40.525S,1M 40.069S,18,9,1M 42.708S,0.879S,16,9,1M 42.835S,1.983S,30,7,1M 43.734S,1.245S,25,2017,0
Max Verstappen VER,1,25,Red Bull Racing TAG Heuer,56,Malaysia,2017-10-01,3,1M 31.92S,1M 30.931S,1M 30.541S,12,6,1M 32.579S,0.699S,17,4,1M 32.109S,0.848S,11,1,1M 48.962S,0S,11,2017,1
Lewis Hamilton HAM,2,18,Mercedes,56,Malaysia,2017-10-01,1,1M 31.605S,1M 30.977S,1M 30.076S,18,5,1M 32.539S,0.659S,20,6,1M 32.677S,1.416S,15,6,1M 51.518S,2.556S,8,2017,0
Daniel Ricciardo RIC,3,15,Red Bull Racing TAG Heuer,56,Malaysia,2017-10-01,4,1M 32.416S,1M 31.061S,1M 30.595S,16,3,1M 32.091S,0.211S,16,3,1M 32.099S,0.838S,19,2,1M 49.719S,0.757S,12,2017,0
Sebastian Vettel VET,4,12,Ferrari,56,Malaysia,2017-10-01,NA,NA,NA,NA,2,2,1M 32.042S,0.162S,14,1,1M 31.261S,0S,23,5,1M 51.009S,2.047S,12,2017,0
Valtteri Bottas BOT,5,10,Mercedes,56,Malaysia,2017-10-01,5,1M 32.254S,1M 30.803S,1M 30.758S,17,4,1M 32.329S,0.449S,24,7,1M 32.72S,1.459S,21,7,1M 52.007S,3.045S,10,2017,0
Sergio Perez PER,6,8,Force India Mercedes,56,Malaysia,2017-10-01,9,1M 32.768S,1M 31.484S,1M 31.658S,18,7,1M 33.209S,1.329S,20,8,1M 32.862S,1.601S,20,15,1M 54.669S,5.707S,4,2017,0
Stoffel Vandoorne VAN,7,6,McLaren Honda,55,Malaysia,2017-10-01,7,1M 32.838S,1M 31.848S,1M 31.582S,18,10,1M 33.321S,1.441S,16,13,1M 33.673S,2.412S,15,12,1M 53.771S,4.809S,10,2017,0
Lance Stroll STR,8,4,Williams Mercedes,55,Malaysia,2017-10-01,13,1M 33S,1M 32.307S,NA,14,12,1M 33.538S,1.658S,21,14,1M 33.818S,2.557S,16,8,1M 52.295S,3.333S,9,2017,0
Felipe Massa MAS,9,2,Williams Mercedes,55,Malaysia,2017-10-01,11,1M 32.267S,1M 32.034S,NA,12,8,1M 33.24S,1.36S,20,12,1M 33.394S,2.133S,20,20,NA,0S,3,2017,0
Esteban Ocon OCO,10,1,Force India Mercedes,55,Malaysia,2017-10-01,6,1M 32.527S,1M 31.651S,1M 31.478S,17,9,1M 33.29S,1.41S,21,10,1M 33.096S,1.835S,24,13,1M 53.896S,4.934S,6,2017,0
Fernando Alonso ALO,11,0,McLaren Honda,55,Malaysia,2017-10-01,10,1M 33.049S,1M 32.01S,1M 31.704S,17,11,1M 33.53S,1.65S,17,5,1M 32.564S,1.303S,14,3,1M 50.597S,1.635S,6,2017,0
Kevin Magnussen MAG,12,0,Haas Ferrari,55,Malaysia,2017-10-01,17,1M 33.434S,NA,NA,6,13,1M 33.787S,1.907S,10,18,1M 34.343S,3.082S,17,NA,NA,10S,NA,2017,0
Romain Grosjean GRO,13,0,Haas Ferrari,55,Malaysia,2017-10-01,16,1M 33.308S,NA,NA,8,18,1M 34.914S,3.034S,19,17,1M 34.118S,2.857S,18,18,1M 56.211S,7.249S,8,2017,0
Pierre Gasly GAS,14,0,Toro Rosso,55,Malaysia,2017-10-01,15,1M 32.547S,1M 32.558S,NA,14,16,1M 34.206S,2.326S,24,15,1M 34.043S,2.782S,22,9,1M 52.38S,3.418S,14,2017,0
Jolyon Palmer PAL,15,0,Renault,55,Malaysia,2017-10-01,12,1M 32.576S,1M 32.1S,NA,14,17,1M 34.475S,2.595S,12,11,1M 33.381S,2.12S,26,11,1M 53.625S,4.663S,10,2017,0
Nico Hulkenberg HUL,16,0,Renault,55,Malaysia,2017-10-01,8,1M 32.586S,1M 31.778S,1M 31.607S,17,14,1M 33.871S,1.991S,14,9,1M 33.06S,1.799S,24,NA,NA,10S,NA,2017,0
Pascal Wehrlein WEH,17,0,Sauber Ferrari,55,Malaysia,2017-10-01,18,1M 33.483S,NA,NA,9,20,1M 35.045S,3.165S,19,19,1M 35.246S,3.985S,29,17,1M 55.652S,6.69S,10,2017,0
Marcus Ericsson ERI,18,0,Sauber Ferrari,54,Malaysia,2017-10-01,19,1M 33.97S,NA,NA,9,19,1M 34.936S,3.056S,19,20,1M 35.697S,4.436S,27,NA,NA,10S,NA,2017,0
Carlos Sainz SAI,NA,0,Toro Rosso,29,Malaysia,2017-10-01,14,1M 32.65S,1M 32.402S,NA,14,15,1M 33.924S,2.044S,22,16,1M 34.104S,2.843S,19,NA,NA,10S,NA,2017,0
Kimi Räikkönen RAI,NA,0,Ferrari,0,Malaysia,2017-10-01,2,1M 32.259S,1M 30.926S,1M 30.121S,14,1,1M 31.88S,0S,19,2,1M 31.865S,0.604S,19,4,1M 50.734S,1.772S,12,2017,0
Lewis Hamilton HAM,1,25,Mercedes,53,Japan,2017-10-08,1,1M 29.047S,1M 27.819S,1M 27.319S,18,2,1M 29.069S,0.014S,19,1,1M 48.719S,0S,4,2,1M 29.377S,0.211S,29,2017,1
Max Verstappen VER,2,18,Red Bull Racing TAG Heuer,53,Japan,2017-10-08,5,1M 29.181S,1M 28.747S,1M 28.332S,12,4,1M 29.91S,0.855S,15,NA,NA,10S,NA,6,1M 30.762S,1.596S,26,2017,0
Daniel Ricciardo RIC,3,15,Red Bull Racing TAG Heuer,53,Japan,2017-10-08,4,1M 29.475S,1M 28.935S,1M 28.306S,13,5,1M 30.018S,0.963S,13,NA,NA,10S,NA,3,1M 29.541S,0.375S,27,2017,0
Valtteri Bottas BOT,4,12,Mercedes,53,Japan,2017-10-08,2,1M 29.332S,1M 28.543S,1M 27.651S,17,1,1M 29.055S,0S,9,NA,NA,10S,NA,5,1M 30.151S,0.985S,30,2017,0
Kimi Räikkönen RAI,5,10,Ferrari,53,Japan,2017-10-08,6,1M 29.163S,1M 29.079S,1M 28.498S,15,20,1M 33.962S,4.907S,12,6,NA,0S,1,4,1M 29.638S,0.472S,22,2017,0
Esteban Ocon OCO,6,8,Force India Mercedes,53,Japan,2017-10-08,7,1M 30.115S,1M 29.199S,1M 29.111S,16,6,1M 30.109S,1.054S,12,2,1M 49.518S,0.799S,3,7,1M 30.899S,1.733S,22,2017,0
Sergio Perez PER,7,6,Force India Mercedes,53,Japan,2017-10-08,8,1M 29.696S,1M 29.343S,1M 29.26S,17,9,1M 30.563S,1.508S,12,3,1M 51.345S,2.626S,3,13,1M 31.53S,2.364S,23,2017,0
Kevin Magnussen MAG,8,4,Haas Ferrari,53,Japan,2017-10-08,13,1M 30.774S,1M 29.972S,NA,11,14,1M 30.982S,1.927S,12,NA,NA,10S,NA,11,1M 31.216S,2.05S,15,2017,0
